City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Srandakan,ID,2021-05-15 19:31:43,-7.9386,110.2506,76.89,84,35,7.05
228,Sisimiut,GL,2021-05-15 19:31:43,66.9395,-53.6735,35.64,86,100,6.04
229,Strezhevoy,RU,2021-05-15 19:31:43,60.7333,77.5889,44.6,81,0,6.71
230,La Reforma,MX,2021-05-15 19:31:44,25.0833,-108.05,95.0,39,74,5.99
231,Port Hardy,CA,2021-05-15 19:30:18,50.6996,-127.4199,51.8,82,75,9.22
232,Katsuura,JP,2021-05-15 19:31:44,35.1333,140.3,66.0,84,71,11.25
233,Bose,IT,2021-05-15 19:31:44,45.4612,8.0137,55.99,81,100,5.39
234,Beloha,MG,2021-05-15 19:31:44,-25.1667,45.05,71.17,59,28,4.79
235,Kruisfontein,ZA,2021-05-15 19:31:45,-34.0033,24.7314,63.0,84,100,5.01
236,Kidal,ML,2021-05-15 19:31:45,18.4411,1.4078,98.35,15,1,2.55
237,Houston,US,2021-05-15 19:29:08,29.7633,-95.3633,84.99,54,75,23.02
238,Puerto Baquerizo Moreno,EC,2021-05-15 19:31:45,-0.9,-89.6,78.8,83,90,9.22
239,Yumen,CN,2021-05-15 19:31:46,40.2833,97.2,55.74,26,60,8.55
240,Dalian,CN,2021-05-15 19:31:46,38.9122,121.6022,59.0,55,0,6.71
241,Touros,BR,2021-05-15 19:31:46,-5.1989,-35.4608,82.4,74,40,10.36
242,Takestan,IR,2021-05-15 19:31:46,36.0696,49.6959,59.0,58,0,6.08
243,Bud,US,2021-05-15 19:31:47,39.447,-86.1758,70.0,28,40,9.22
244,Kloulklubed,PW,2021-05-15 19:31:47,7.0419,134.2556,83.91,76,100,14.9
245,Innisfail,AU,2021-05-15 19:30:12,-17.5333,146.0333,65.21,82,0,5.86
246,Berlevag,NO,2021-05-15 19:31:47,70.8578,29.0864,35.08,83,100,17.09
247,Liverpool,GB,2021-05-15 19:31:47,53.4106,-2.9779,54.0,87,75,9.22
248,Ceres,US,2021-05-15 19:31:11,37.5949,-120.9577,66.2,45,1,6.91
249,Orikhiv,UA,2021-05-15 19:31:48,47.5673,35.7858,66.2,52,0,2.24
250,Hambantota,LK,2021-05-15 19:31:48,6.1241,81.1185,78.8,94,20,5.75
251,Byron Bay,AU,2021-05-15 19:31:48,-28.65,153.6167,51.8,54,0,9.22
252,Marica,BR,2021-05-15 19:31:48,-22.9194,-42.8186,75.99,69,20,9.22
253,Maniitsoq,GL,2021-05-15 19:31:49,65.4167,-52.9,37.58,83,100,10.07
254,Tecpan,GT,2021-05-15 19:31:49,14.7623,-90.9947,79.0,60,75,11.5
255,Akyab,MM,2021-05-15 19:31:49,20.15,92.9,82.87,85,61,8.61
256,Dondo,MZ,2021-05-15 19:31:49,-19.6094,34.7431,73.4,94,20,6.98
257,Leshukonskoye,RU,2021-05-15 19:31:50,64.8989,45.7622,51.06,87,51,4.38
258,Idlib,SY,2021-05-15 19:31:50,35.9306,36.6339,69.8,78,0,19.57
259,Awbari,LY,2021-05-15 19:31:50,26.5921,12.7805,88.97,13,100,7.58
260,Gamba,GA,2021-05-15 19:31:50,-2.65,10.0,79.07,88,34,6.06
261,West Plains,US,2021-05-15 19:31:51,36.7281,-91.8524,63.0,82,90,4.61
262,Itarema,BR,2021-05-15 19:31:51,-2.9248,-39.9167,79.07,83,100,7.38
263,Niquelandia,BR,2021-05-15 19:31:51,-14.4739,-48.4597,79.41,46,100,3.09
264,Carpen,RO,2021-05-15 19:31:51,44.3333,23.25,62.01,77,96,6.62
265,Constitucion,CL,2021-05-15 19:31:52,-35.3333,-72.4167,60.98,69,97,12.68
266,Rabaul,PG,2021-05-15 19:31:52,-4.1967,152.1721,80.49,78,15,7.63
267,Kavaratti,IN,2021-05-15 19:31:52,10.5669,72.642,83.73,78,100,27.31
268,Georgetown,MY,2021-05-15 19:31:28,5.4112,100.3354,82.0,89,20,3.44
269,Independencia,BR,2021-05-15 19:31:52,-5.3964,-40.3086,81.1,55,95,6.93
270,Grants,US,2021-05-15 19:31:53,35.1473,-107.8514,75.2,13,75,12.66
271,Port-Cartier,CA,2021-05-15 19:27:05,50.0334,-66.8654,50.0,57,90,5.75
272,Mount Isa,AU,2021-05-15 19:31:53,-20.7333,139.5,60.8,29,0,17.27
273,Karratha,AU,2021-05-15 19:31:53,-20.7377,116.8463,71.06,36,0,12.5
274,Klaksvik,FO,2021-05-15 19:31:53,62.2266,-6.589,42.8,87,75,14.97
275,East Wenatchee Bench,US,2021-05-15 19:31:54,47.4257,-120.2812,82.0,25,1,5.75
276,Nowy Dwor Mazowiecki,PL,2021-05-15 19:31:54,52.4302,20.7165,57.2,58,0,2.3
277,Chara,RU,2021-05-15 19:31:54,56.9064,118.2631,36.84,63,43,0.72
278,Opuwo,NA,2021-05-15 19:31:54,-18.0607,13.84,67.51,33,0,7.07
279,Hami,CN,2021-05-15 19:31:55,42.8,93.45,68.63,17,61,13.4
280,San Quintin,MX,2021-05-15 19:31:55,30.4833,-115.95,64.31,62,1,14.88
281,Ancud,CL,2021-05-15 19:31:55,-41.8697,-73.8203,57.99,82,75,1.54
282,Whitehorse,CA,2021-05-15 19:30:12,60.7161,-135.0538,44.01,87,75,12.66
283,Fougamou,GA,2021-05-15 19:31:55,-1.2154,10.5838,75.96,95,100,2.75
284,Kununurra,AU,2021-05-15 19:28:09,-15.7667,128.7333,69.8,37,5,9.22
285,Ugoofaaru,MV,2021-05-15 19:31:56,5.6667,73.0,84.54,75,85,25.72
286,Manokwari,ID,2021-05-15 19:31:56,-0.8667,134.0833,79.14,79,79,3.6
287,Oktyabrskoye,RU,2021-05-15 19:31:56,43.0645,44.7417,64.4,68,95,11.18
288,Chernyshevskiy,RU,2021-05-15 19:31:56,63.0128,112.4714,35.78,84,100,7.65
